,series_name,metric,geo,genre_id,genre_name,value
80,q50,arpdau,BR,3103,snipers_sub_shooter,0.0013896240781601276
81,q50,arpdau,BR,3105,other_shooter_sub_shooter,0.023880327221485857
82,q50,arpdau,BR,3203,fighting_sub_rpg,0.00671485558754417
83,q50,arpdau,BR,3204,mmorpg_sub_rpg,0.010361259569481886
84,q50,arpdau,BR,3301,card_battlers_sub_card,0.04634255177631291
85,q50,arpdau,BR,3405,other_strategy_sub_strategy,0.17623819932592558
86,q50,arpdau,BR,3601,arcade_sports_sub_sports,0.0027753315794360376
87,q50,arpdau,BR,3603,other_sports_sub_sports,0.04692555383151698
88,q50,arpdau,BR,3701,arcade_racing_sub_racing,0.17280110135691
89,q50,arpdau,CA,1001,other_sub_hypercasual,0.014150229509189738
90,q50,arpdau,CA,1002,puzzle_sub_hypercasual,0.03083072165813778
91,q50,arpdau,CA,1003,idle_sub_hypercasual,0.10861512520107805
92,q50,arpdau,CA,1004,io_sub_hypercasual,0.0063999012893316415
93,q50,arpdau,CA,1137,action_store,0.018034782064266435
94,q50,arpdau,CA,1138,adventure_store,0.00875993922364453
95,q50,arpdau,CA,1139,casual_store,0.019777724879600018
96,q50,arpdau,CA,1140,board_store,0.027940645329745738
97,q50,arpdau,CA,1141,card_store,0.08332338707114842
98,q50,arpdau,CA,1142,casino_store,0.09692955597505427
99,q50,arpdau,CA,1147,puzzle_store,0.027942987342648322
100,q50,arpdau,CA,1148,racing_store,0.005843644010539453
101,q50,arpdau,CA,1149,role_playing_store,0.01987459655133132
102,q50,arpdau,CA,1150,simulation_store,0.03315283503209299
103,q50,arpdau,CA,1151,sports_store,0.025066662869923605
104,q50,arpdau,CA,1152,strategy_store,0.06730925932606863
105,q50,arpdau,CA,1153,trivia_store,0.015346428015714755
106,q50,arpdau,CA,1154,word_store,0.01337294173280434
107,q50,arpdau,CA,1155,arcade_store,0.009047751413048548
108,q50,arpdau,CA,1156,multiplayer_store,0.00535737238307617
109,q50,arpdau,CA,2201,platformer_sub_arcade,0.006125246453974887
110,q50,arpdau,CA,2202,idler_sub_arcade,0.06403275957924695
111,q50,arpdau,CA,2203,shoot_em_up_sub_arcade,0.06629369856397516
112,q50,arpdau,CA,2204,other_arcade_sub_arcade,0.013940697036494133
113,q50,arpdau,CA,2205,tower_defense_sub_arcade,0.10694744416595335
114,q50,arpdau,CA,2206,board_games_sub_arcade,0.10518482961521997
115,q50,arpdau,CA,2303,music_band_sub_lifestyle,0.0028299749590502458
116,q50,arpdau,CA,2401,action_sub_puzzle,0.0014992421316023532
117,q50,arpdau,CA,2402,match3_sub_puzzle,0.029181145613733115
118,q50,arpdau,CA,2403,other_sub_puzzle,0.0376219348144367
119,q50,arpdau,CA,2404,word_games_sub_puzzle,0.017951815215299625
120,q50,arpdau,CA,2405,trivia_games_sub_puzzle,0.01782024497361425
121,q50,arpdau,CA,2406,coloring_games_sub_puzzle,0.007454471192501308
122,q50,arpdau,CA,2407,hidden_objects_sub_puzzle,0.0430268697597704
123,q50,arpdau,CA,2501,adventures_sub_simulation,0.13327468063946696
124,q50,arpdau,CA,2503,tycoon_crafting_sub_simulation,0.10902821828560103
125,q50,arpdau,CA,2507,animal_pet_sub_simulation,0.018813173983659805
126,q50,arpdau,CA,3103,snipers_sub_shooter,0.053708706166188
127,q50,arpdau,CA,3105,other_shooter_sub_shooter,0.24418392286256457
128,q50,arpdau,CA,3203,fighting_sub_rpg,0.023391364272122774
129,q50,arpdau,CA,3204,mmorpg_sub_rpg,0.10930928808560764
130,q50,arpdau,CA,3301,card_battlers_sub_card,0.08680247263572831
131,q50,arpdau,CA,3405,other_strategy_sub_strategy,0.6261809711454152
132,q50,arpdau,CA,3601,arcade_sports_sub_sports,0.005721336471854378
133,q50,arpdau,CA,3603,other_sports_sub_sports,0.36566987543794394
134,q50,arpdau,CA,3701,arcade_racing_sub_racing,0.08385880486119186
135,q50,arpdau,CN,1001,other_sub_hypercasual,0.07669495777559548
136,q50,arpdau,CN,1002,puzzle_sub_hypercasual,0.024260068443041533
137,q50,arpdau,CN,1003,idle_sub_hypercasual,0.068040184676647
138,q50,arpdau,CN,1004,io_sub_hypercasual,0.002482885720922321
139,q50,arpdau,CN,1137,action_store,0.10387831100188176
140,q50,arpdau,CN,1138,adventure_store,0.14640148965991573
141,q50,arpdau,CN,1139,casual_store,0.04116437314381495
142,q50,arpdau,CN,1140,board_store,0.012451847136636341
143,q50,arpdau,CN,1141,card_store,0.24622059161265436
144,q50,arpdau,CN,1142,casino_store,0.0092422091402105
145,q50,arpdau,CN,1147,puzzle_store,0.01664134030651187
