,series_name,metric,geo,day,genre_id,genre_name,value
76,q50,retention_d1,BR,1,2403,other_sub_puzzle,17.853584905660377
77,q50,retention_d1,BR,1,2404,word_games_sub_puzzle,29.993207547169813
78,q50,retention_d1,BR,1,2405,trivia_games_sub_puzzle,29.0188679245283
79,q50,retention_d1,BR,1,2406,coloring_games_sub_puzzle,25.737924528301885
80,q50,retention_d1,BR,1,2407,hidden_objects_sub_puzzle,16.529245283018867
81,q50,retention_d1,BR,1,2501,adventures_sub_simulation,25.24679245283019
82,q50,retention_d1,BR,1,2503,tycoon_crafting_sub_simulation,29.301320754716983
83,q50,retention_d1,BR,1,2507,animal_pet_sub_simulation,21.11867924528302
84,q50,retention_d1,BR,1,3103,snipers_sub_shooter,16.43320754716981
85,q50,retention_d1,BR,1,3105,other_shooter_sub_shooter,13.514716981132075
86,q50,retention_d1,BR,1,3203,fighting_sub_rpg,20.261509433962264
87,q50,retention_d1,BR,1,3204,mmorpg_sub_rpg,18.694716981132075
88,q50,retention_d1,BR,1,3207,survival_sub_rpg,36.87943396226415
89,q50,retention_d1,BR,1,3301,card_battlers_sub_card,18.76924528301887
90,q50,retention_d1,BR,1,3405,other_strategy_sub_strategy,23.640188679245284
91,q50,retention_d1,BR,1,3601,arcade_sports_sub_sports,20.04830188679245
92,q50,retention_d1,BR,1,3603,other_sports_sub_sports,21.30754716981132
93,q50,retention_d1,BR,1,3701,arcade_racing_sub_racing,22.355471698113206
94,q50,retention_d1,CA,1,1001,other_sub_hypercasual,28.444716981132075
95,q50,retention_d1,CA,1,1002,puzzle_sub_hypercasual,23.48943396226415
96,q50,retention_d1,CA,1,1003,idle_sub_hypercasual,33.65622641509434
97,q50,retention_d1,CA,1,1004,io_sub_hypercasual,27.126792452830188
98,q50,retention_d1,CA,1,1137,action_store,26.082452830188682
99,q50,retention_d1,CA,1,1138,adventure_store,18.732452830188677
100,q50,retention_d1,CA,1,1139,casual_store,26.027169811320757
101,q50,retention_d1,CA,1,1140,board_store,25.119999999999997
102,q50,retention_d1,CA,1,1141,card_store,24.223018867924527
